"コード","銘柄名","市場","現在値","前日比(%)"
"6029","アトラグループ","東S","165","-6.0(-3.51%)"
"6030","アドベンチャー","東G","3330","+25.0(+0.76%)"
"6031","サイジニア","東G","751","-9.0(-1.18%)"
"6033","エクストリーム","東G","1274","-24.0(-1.85%)"
"6034","ＭＲＴ","東G","793","-13.0(-1.61%)"
"6035","アイ・アールジャパンＨＬＤＧ","東P","1136","-6.0(-0.53%)"
"6036","ＫｅｅＰｅｒ技研","東P","4180","+20.0(+0.48%)"
"6037","ファーストロジック","東S","503","-11.0(-2.14%)"
"6038","イード","東G","756","-14.0(-1.82%)"
"6039","日本動物高度医療センター","東G","1928","-22.0(-1.13%)"
"6040","日本スキー場開発","東G","1010","-24.0(-2.32%)"
"6042","ニッキ","東S","2850","+0.0(+0.00%)"
"6044","三機サービス","東S","1247","-4.0(-0.32%)"
"6045","レントラックス","東G","466","-8.0(-1.69%)"
"6046","リンクバル","東G","162","+0.0(+0.00%)"
"6047","Ｇｕｎｏｓｙ","東P","783","-13.0(-1.63%)"
"6048","デザインワン・ジャパン","東S","134","-4.0(-2.90%)"
"6049","イトクロ","東G","262","-5.0(-1.87%)"
"6050","イー・ガーディアン","東P","1406","-10.0(-0.71%)"
"6054","リブセンス","東S","223","-1.0(-0.45%)"
"6055","ジャパンマテリアル","東P","2380","-22.0(-0.92%)"
"6058","ベクトル","東P","1377","+64.0(+4.87%)"
"6059","ウチヤマＨＬＤＧ","東S","355","-6.0(-1.66%)"
"6060","こころネット","東S","1108","-10.0(-0.89%)"
"6061","ユニバーサル園芸社","東S","3600","-50.0(-1.37%)"
"6062","チャーム・ケア","東P","1512","-42.0(-2.70%)"
"6063","日本エマージェンシーアシスタン","東S","744","-6.0(-0.80%)"
"6069","トレンダーズ","東G","1073","+27.0(+2.58%)"
"6070","キャリアリンク","東P","2395","-19.0(-0.79%)"
"6071","ＩＢＪ","東P","538","-5.0(-0.92%)"
"6072","地盤ネットＨＬＤＧ","東G","158","+1.0(+0.64%)"
"6073","アサンテ","東P","1644","-22.0(-1.32%)"
"6074","ジェイエスエス","東S","514","-6.0(-1.15%)"
"6078","バリューＨＲ","東P","1322","-3.0(-0.23%)"
"6080","Ｍ＆Ａキャピタルパートナーズ","東P","2104","-16.0(-0.75%)"
"6081","アライドアーキテクツ","東G","267","-3.0(-1.11%)"
"6082","ライドオンエクスプレスＨＬＤＧ","東S","1021","-14.0(-1.35%)"
"6083","ＥＲＩ　ＨＬＤＧ","東S","2175","-58.0(-2.60%)"
"6085","アーキテクツ・スタジオ・ジャパ","東G","518","-18.0(-3.36%)"
"6086","シンメンテＨＬＤＧ","東G","1350","-54.0(-3.85%)"
"6087","アビスト","東S","3150","-5.0(-0.16%)"
"6088","シグマクシス・ＨＬＤＧ","東P","1653","-20.0(-1.20%)"
"6089","ウィルグループ","東P","1061","-15.0(-1.39%)"
"6090","ヒューマン・メタボローム・テク","東G","685","-5.0(-0.72%)"
"6091","ウエスコＨＬＤＧ","東S","590","-4.0(-0.67%)"
"6092","エンバイオＨＬＤＧ","東G","595","-4.0(-0.67%)"
"6093","エスクロー・エージェント・ジャ","東S","141","-2.0(-1.40%)"
"6094","フリークアウトＨＬＤＧ","東G","709","-13.0(-1.80%)"
"6095","メドピア","東P","664","-5.0(-0.75%)"
"6096","レアジョブ","東S","706","-21.0(-2.89%)"
"6098","リクルートＨＬＤＧ","東P","6496.0","-279.0(-4.12%)"
"6099","エラン","東P","910","-17.0(-1.83%)"
"6101","ツガミ","東P","1273","+8.0(+0.63%)"
"6103","オークマ","東P","6990.0","-109.0(-1.54%)"
"6104","芝浦機械","東P","3435","-45.0(-1.29%)"
"6113","アマダ","東P","1694.0","-43.5(-2.50%)"
"6118","アイダエンジニアリング","東P","884","-11.0(-1.23%)"
"6125","岡本工作機械製作所","東S","6210","-230.0(-3.57%)"
"6131","浜井産業","東S","1600","-105.0(-6.16%)"
"6134","ＦＵＪＩ","東P","2631.0","-21.5(-0.81%)"
"6135","牧野フライス製作所","東P","6160","-160.0(-2.53%)"
"6136","オーエスジー","東P","1978.0","-15.5(-0.78%)"
"6137","小池酸素工業","東S","6860","-550.0(-7.42%)"
"6138","ダイジェット工業","東S","826","-6.0(-0.72%)"
"6140","旭ダイヤモンド工業","東P","917","-16.0(-1.71%)"
"6141","ＤＭＧ森精機","東P","4141.0","-146.0(-3.41%)"
"6143","ソディック","東P","726","-14.0(-1.89%)"
"6144","西部電機","東S","1770","-9.0(-0.51%)"
"6145","ＮＩＴＴＯＫＵ","東S","1960","-25.0(-1.26%)"
"6146","ディスコ","東P","52660.0","-2,540.0(-4.60%)"
"6147","ヤマザキ","東S","349","+1.0(+0.29%)"
"6149","小田原エンジニアリング","東S","1804","-41.0(-2.22%)"
"6150","タケダ機械","東S","4095","+25.0(+0.61%)"
"6151","日東工器","東P","2231","+2.0(+0.09%)"
"6155","高松機械工業","東S","521","+3.0(+0.58%)"
"6156","エーワン精密","東S","2081","-42.0(-1.98%)"
"6157","日進工具","東P","909","-16.0(-1.73%)"
"6158","和井田製作所","東S","1089","-29.0(-2.59%)"
"6159","ミクロン精密","東S","-","- (-%)"
"6161","エスティック","東S","933","-6.0(-0.64%)"
"6164","太陽工機","東S","1583","-44.0(-2.70%)"
"6165","パンチ工業","東S","434","-9.0(-2.03%)"
"6166","中村超硬","東G","324","-14.0(-4.14%)"
"6167","冨士ダイス","東P","674","-10.0(-1.46%)"
"6171","土木管理総合試験所","東S","326","-3.0(-0.91%)"
"6173","アクアライン","東G","506","-83.0(-14.09%)"
"6176","ブランジスタ","東G","611","+3.0(+0.49%)"
"6177","ＡｐｐＢａｎｋ","東G","114","-4.0(-3.39%)"
"6178","日本郵政","東P","1424.0","-66.5(-4.46%)"
"6180","ＧＭＯメディア","東G","2945","-42.0(-1.41%)"
"6181","タメニー","東G","102","-3.0(-2.86%)"
"6182","メタリアル","東G","1092","-263.0(-19.41%)"
"6183","ベルシステム２４ＨＬＤＧ","東P","1560","-17.0(-1.08%)"
"6184","鎌倉新書","東P","518","-6.0(-1.15%)"
"6185","ＳＭＮ","東S","358","-11.0(-2.98%)"
"6186","一蔵","東S","569","-2.0(-0.35%)"
"6189","グローバルキッズＣＯＭＰＡＮＹ","東S","676","-8.0(-1.17%)"
"6190","フェニックスバイオ","東G","477","-4.0(-0.83%)"
"6191","エアトリ","東P","1443","-7.0(-0.48%)"
"6193","バーチャレクスＨＬＤＧ","東G","904","-11.0(-1.20%)"
"6194","アトラエ","東P","436","-8.0(-1.80%)"
"6195","ホープ","東G","189","-5.0(-2.58%)"
"6196","ストライク","東P","4730","-175.0(-3.57%)"
"6197","ソラスト","東P","506","-5.0(-0.98%)"
"6198","キャリア","東G","342","+0.0(+0.00%)"
"6199","セラク","東S","1052","-30.0(-2.77%)"
"6200","インソース","東P","777","+0.0(+0.00%)"
"6201","豊田自動織機","東P","13910.0","-460.0(-3.20%)"
"6203","豊和工業","東S","806","-21.0(-2.54%)"
"6208","石川製作所","東S","1392","-26.0(-1.83%)"
"6209","リケンＮＰＲ","東P","2978","-182.0(-5.76%)"
"6210","東洋機械金属","東S","715","-12.0(-1.65%)"
"6217","津田駒工業","東S","396","-4.0(-1.00%)"
"6218","エンシュウ","東S","679","-9.0(-1.31%)"
"6222","島精機製作所","東P","1268","-51.0(-3.87%)"
"6223","西部技研","東S","1723","-92.0(-5.07%)"
"6224","ＪＲＣ","東G","905","+5.0(+0.56%)"
"6226","守谷輸送機工業","東S","1106","-59.0(-5.06%)"
"6227","ＡＩメカテック","東S","3325","-85.0(-2.49%)"
"6228","ジェイ・イー・ティ","東S","4055","-105.0(-2.52%)"
"6229","オーケーエム","東S","1464","-67.0(-4.38%)"
"6230","ＳＡＮＥＩ","東S","4150","+45.0(+1.10%)"
"6231","木村工機","東S","4820","-150.0(-3.02%)"
"6232","ＡＣＳＬ","東G","1275","-29.0(-2.22%)"
"6233","ＫＬＡＳＳ","東S","498","-4.0(-0.80%)"
"6235","オプトラン","東P","1928","-38.0(-1.93%)"
"6236","ＮＣ　ＨＬＤＧ","東S","1526","-5.0(-0.33%)"
"6237","イワキポンプ","東P","2560","-79.0(-2.99%)"
"6238","フリュー","東P","1259","-46.0(-3.52%)"
"6239","ナガオカ","東S","1680","-24.0(-1.41%)"
"6240","ヤマシンフィルタ","東P","435","-13.0(-2.90%)"
"6245","ヒラノテクシード","東S","2017","-31.0(-1.51%)"
"6246","テクノスマート","東S","1782","-44.0(-2.41%)"
"6247","日阪製作所","東P","1060","-33.0(-3.02%)"
"6248","横田製作所","東S","1338","+9.0(+0.68%)"
"6249","ゲームカード・ジョイコＨＬＤＧ","東S","2309","-138.0(-5.64%)"
"6250","やまびこ","東P","2009","-67.0(-3.23%)"
"6254","野村マイクロ・サイエンス","東P","5010","-320.0(-6.00%)"
"6255","エヌ・ピー・シー","東G","1038","-29.0(-2.72%)"
"6257","藤商事","東S","1377","-35.0(-2.48%)"
"6258","平田機工","東P","7210","-340.0(-4.50%)"
"6262","ＰＥＧＡＳＵＳ","東P","479","-20.0(-4.01%)"
"6264","マルマエ","東P","1903","-16.0(-0.83%)"
"6265","コンバム","東S","2000","-10.0(-0.50%)"
"6266","タツモ","東P","4120","-230.0(-5.29%)"
"6267","ゼネラルパッカー","東S","-","- (-%)"
"6268","ナブテスコ","東P","2580.0","+38.0(+1.49%)"
"6269","三井海洋開発","東P","3150","-130.0(-3.96%)"
"6272","レオン自動機","東P","1541","-23.0(-1.47%)"
"6273","ＳＭＣ","東P","82920.0","-1,300.0(-1.54%)"
"6276","シリウスビジョン","東S","789","-3.0(-0.38%)"
"6277","ホソカワミクロン","東P","4445","-135.0(-2.95%)"
"6278","ユニオンツール","東P","4415","-145.0(-3.18%)"
"6279","瑞光","東P","1033","-27.0(-2.55%)"
"6282","オイレス工業","東P","2342","-67.0(-2.78%)"
"6284","日精エー・エス・ビー機械","東P","4975","-45.0(-0.90%)"
"6286","靜甲","東S","708","-2.0(-0.28%)"
"6287","サトーＨＬＤＧ","東P","2166","-95.0(-4.20%)"
"6289","技研製作所","東P","1986","-32.0(-1.59%)"
"6291","日本エアーテック","東S","1184","-19.0(-1.58%)"
"6292","カワタ","東S","987","-21.0(-2.08%)"
"6293","日精樹脂工業","東P","1081","-39.0(-3.48%)"
"6294","オカダアイヨン","東P","2890","-75.0(-2.53%)"
"6297","鉱研工業","東S","601","+15.0(+2.56%)"
"6298","ワイエイシイＨＬＤＧ","東P","2318","-66.0(-2.77%)"
"6301","小松製作所","東P","4440.0","-105.0(-2.31%)"
"6302","住友重機械工業","東P","4594.0","-149.0(-3.14%)"
"6305","日立建機","東P","4633.0","-198.0(-4.10%)"
"6306","日工","東P","734","-16.0(-2.13%)"
"6307","サンセイ","東S","404","-7.0(-1.70%)"
"6309","巴工業","東P","4335","-90.0(-2.03%)"
"6310","井関農機","東P","1067","-22.0(-2.02%)"
"6312","フロイント産業","東S","861","-28.0(-3.15%)"
"6315","ＴＯＷＡ","東P","9830","-560.0(-5.39%)"
"6316","丸山製作所","東S","2416","-107.0(-4.24%)"
"6317","北川鉄工所","東S","1532","-54.0(-3.40%)"
"6319","シンニッタン","東S","267","-8.0(-2.91%)"
"6322","タクミナ","東S","1930","-5.0(-0.26%)"
"6323","ローツェ","東P","28770","-880.0(-2.97%)"
"6324","ハーモニック・ドライブ・システ","東S","3855","-120.0(-3.02%)"
"6325","タカキタ","東S","551","+6.0(+1.10%)"
"6326","クボタ","東P","2446.0","-105.5(-4.13%)"
"6327","北川精機","東S","845","-31.0(-3.54%)"
"6328","荏原実業","東P","3380","-155.0(-4.38%)"
"6330","東洋エンジニアリング","東P","935","-66.0(-6.59%)"
"6331","三菱化工機","東P","3745","-140.0(-3.60%)"
"6332","月島ＨＬＤＧ","東P","1395","-67.0(-4.58%)"
"6333","帝国電機製作所","東P","2453","-32.0(-1.29%)"
"6334","明治機械","東S","354","+0.0(+0.00%)"
"6335","東京機械製作所","東S","442","-6.0(-1.34%)"
"6336","石井表記","東S","673","-6.0(-0.88%)"
"6337","テセック","東S","2263","-57.0(-2.46%)"
"6338","タカトリ","東S","3765","-120.0(-3.09%)"
"6339","新東工業","東P","1272","-61.0(-4.58%)"
"6340","澁谷工業","東P","3490","-135.0(-3.72%)"
"6342","太平製作所","東S","3270","-50.0(-1.51%)"
"6343","フリージア・マクロス","東S","106","+0.0(+0.00%)"
"6345","アイチ","東P","1105","-7.0(-0.63%)"
"6346","キクカワエンタープライズ","東S","4935","+0.0(+0.00%)"
"6347","プラコー","東S","220","-4.0(-1.79%)"
"6349","小森コーポレーション","東P","1153","-22.0(-1.87%)"
"6351","鶴見製作所","東P","3565","-140.0(-3.78%)"
"6356","日本ギア工業","東S","681","-28.0(-3.95%)"
"6357","三精テクノロジーズ","東S","1298","-45.0(-3.35%)"
"6358","酒井重工業","東P","6220","-230.0(-3.57%)"
"6360","東京自働機械製作所","東S","3010","-20.0(-0.66%)"
"6361","荏原製作所","東P","13175.0","-600.0(-4.36%)"
"6362","石井鐵工所","東S","2782","-4.0(-0.14%)"
"6363","酉島製作所","東P","2652","-105.0(-3.81%)"
"6364","北越工業","東P","1838","-52.0(-2.75%)"
"6365","電業社機械製作所","東S","3740","-40.0(-1.06%)"
"6366","千代田化工建設","東S","445","-8.0(-1.77%)"
"6367","ダイキン工業","東P","20065.0","+5.0(+0.02%)"
"6368","オルガノ","東P","7020","-250.0(-3.44%)"
"6369","トーヨーカネツ","東P","4275","-135.0(-3.06%)"
"6370","栗田工業","東P","6220.0","-197.0(-3.07%)"
"6371","椿本チエイン","東P","5000","-110.0(-2.15%)"
"6373","大同工業","東S","773","-2.0(-0.26%)"
"6376","日機装","東P","1270","-15.0(-1.17%)"
"6378","木村化工機","東S","752","-22.0(-2.84%)"
"6379","レイズネクスト","東P","2009","-51.0(-2.48%)"
"6380","オリエンタルチエン工業","東S","2060","-29.0(-1.39%)"
"6381","アネスト岩田","東P","1331","-3.0(-0.22%)"
"6382","トリニティ工業","東S","1190","-4.0(-0.34%)"
"6383","ダイフク","東P","3351.0","-135.0(-3.87%)"
"6384","昭和真空","東S","1405","-17.0(-1.20%)"
"6387","サムコ","東P","4440","-190.0(-4.10%)"
"6390","加藤製作所","東P","1400","-53.0(-3.65%)"
"6391","加地テック","東S","5350","-310.0(-5.48%)"
"6392","ヤマダコーポレーション","東S","5430","-220.0(-3.89%)"
"6393","油研工業","東S","2224","-34.0(-1.51%)"
"6395","タダノ","東P","1290.5","-49.5(-3.69%)"
"6396","宇野澤組鐵工所","東S","-","- (-%)"
"6400","不二精機","東S","313","-1.0(-0.32%)"
"6402","兼松エンジニアリング","東S","1200","-13.0(-1.07%)"
"6403","水道機工","東S","1564","-9.0(-0.57%)"
"6405","鈴茂器工","東S","1102","-8.0(-0.72%)"
"6406","フジテック","東P","3632.0","-155.0(-4.09%)"
"6407","ＣＫＤ","東P","3070","-125.0(-3.91%)"
"6408","小倉クラッチ","東S","3200","+50.0(+1.59%)"
"6411","中野冷機","東S","5620","-70.0(-1.23%)"
"6412","平和","東P","1925","+0.0(+0.00%)"
"6413","理想科学工業","東P","2925","-100.0(-3.31%)"
"6416","桂川電機","東S","861","-1.0(-0.12%)"
"6417","ＳＡＮＫＹＯ","東P","1630.0","-20.5(-1.24%)"
"6418","日本金銭機械","東P","1273","-27.0(-2.08%)"
"6419","マースグループＨＬＤＧ","東P","2993","-222.0(-6.91%)"
"6420","フクシマガリレイ","東P","6420","-110.0(-1.68%)"
"6424","高見沢サイバネティックス","東S","1290","-28.0(-2.12%)"
"6425","ユニバーサルエンターテインメン","東S","1714","-159.0(-8.49%)"
"6428","オーイズミ","東S","397","-10.0(-2.46%)"
"6430","ダイコク電機","東P","3525","-40.0(-1.12%)"
"6432","竹内製作所","東P","5840","-100.0(-1.68%)"
"6433","ヒーハイスト","東S","261","-1.0(-0.38%)"
"6436","アマノ","東P","3769.0","-70.0(-1.82%)"
"6440","ＪＵＫＩ","東P","540","-15.0(-2.70%)"
"6444","サンデン","東S","163","-2.0(-1.21%)"
"6445","ジャノメ","東P","656","-13.0(-1.94%)"
"6448","ブラザー工業","東P","2867.0","-49.5(-1.70%)"
"6454","マックス","東P","3210","-80.0(-2.43%)"
"6455","モリタＨＬＤＧ","東P","1656","-37.0(-2.19%)"
"6457","グローリー","東P","2774.0","-70.5(-2.48%)"
"6458","新晃工業","東P","3765","-210.0(-5.28%)"
"6459","大和冷機工業","東P","1477","-58.0(-3.78%)"
"6460","セガサミーＨＬＤＧ","東P","1965.0","-8.5(-0.43%)"
"6463","ＴＰＲ","東P","2283","-62.0(-2.64%)"
"6464","ツバキ・ナカシマ","東P","845","-23.0(-2.65%)"
"6465","ホシザキ","東P","5634.0","-163.0(-2.81%)"
"6466","ＴＶＥ","東S","2652","-111.0(-4.02%)"
"6467","ニチダイ","東S","358","-3.0(-0.83%)"
"6469","放電精密加工研究所","東S","1495","-139.0(-8.51%)"
"6470","大豊工業","東S","870","-29.0(-3.23%)"
"6471","日本精工","東P","875.9","-10.4(-1.17%)"
"6472","ＮＴＮ","東P","302.8","-8.9(-2.86%)"
"6473","ジェイテクト","東P","1391.5","-45.5(-3.17%)"
"6474","不二越","東P","3390","-75.0(-2.16%)"
"6479","ミネベアミツミ","東P","2782.0","-21.5(-0.77%)"
"6480","日本トムソン","東P","626","-27.0(-4.13%)"
"6481","ＴＨＫ","東P","3467.0","-85.0(-2.39%)"
"6482","ユーシン精機","東S","683","-17.0(-2.43%)"
"6484","ＫＶＫ","東S","1881","+0.0(+0.00%)"
"6485","前澤給装工業","東S","1250","-32.0(-2.50%)"
"6486","イーグル工業","東P","1774","-49.0(-2.69%)"
"6488","ヨシタケ","東S","877","-15.0(-1.68%)"
"6489","前澤工業","東S","1185","-29.0(-2.39%)"
"6490","日本ピラー工業","東P","6060","-300.0(-4.72%)"
"6492","岡野バルブ製造","東S","5230","-10.0(-0.19%)"
"6493","ＮＩＴＴＡＮ","東S","355","-12.0(-3.27%)"
"6494","ＮＦＫ　ＨＬＤＧ","東S","102","-2.0(-1.92%)"
"6495","宮入バルブ製作所","東S","122","+0.0(+0.00%)"
"6496","中北製作所","東S","3900","-110.0(-2.74%)"
"6497","ハマイ","東S","1200","+0.0(+0.00%)"
"6498","キッツ","東P","1354","-33.0(-2.38%)"
"6501","日立製作所","東P","13990.0","-640.0(-4.37%)"
"6503","三菱電機","東P","2514.5","-64.0(-2.48%)"
"6504","富士電機","東P","9837.0","-613.0(-5.87%)"
"6505","東洋電機製造","東S","1100","-44.0(-3.85%)"
"6506","安川電機","東P","6134.0","-160.0(-2.54%)"
"6507","シンフォニア　テクノロジー","東P","3255","-230.0(-6.60%)"
"6508","明電舎","東P","3300","-50.0(-1.49%)"
"6513","オリジン","東S","1205","+7.0(+0.58%)"
"6516","山洋電気","東P","7190","-110.0(-1.51%)"
"6517","デンヨー","東P","2307","-72.0(-3.03%)"
"6518","三相電機","東S","1102","+0.0(+0.00%)"
"6521","オキサイド","東G","2576","-245.0(-8.68%)"
"6522","アスタリスク","東G","474","-53.0(-10.06%)"
"6523","ＰＨＣＨＬＤＧ","東P","1112","-18.0(-1.59%)"
"6524","湖北工業","東S","1888","-63.0(-3.23%)"
"6525","ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩ","東P","4295","+75.0(+1.78%)"
"6526","ソシオネクスト","東P","4637.0","-290.0(-5.89%)"
"6532","ベイカレント・コンサルティング","東P","3625.0","+172.0(+4.98%)"
"6533","Ｏｒｃｈｅｓｔｒａ　ＨＬＤＧ","東P","945","-9.0(-0.94%)"
"6535","アイモバイル","東P","378","-13.0(-3.32%)"
"6537","ＷＡＳＨハウス","東G","345","-5.0(-1.43%)"
"6538","キャリアインデックス","東S","178","-3.0(-1.66%)"
"6539","ＭＳ―Ｊａｐａｎ","東P","1200","-14.0(-1.15%)"
"6540","船場","東S","1262","-20.0(-1.56%)"
"6542","ＦＣ　ＨＬＤＧ","東S","899","-1.0(-0.11%)"
"6543","日宣","東S","631","-2.0(-0.32%)"
"6544","ジャパンエレベーターサービスＨ","東P","2326","+32.0(+1.39%)"
"6545","インターネットインフィニティー","東G","442","-1.0(-0.23%)"
"6546","フルテック","東S","1136","-8.0(-0.70%)"
"6547","グリーンズ","東S","2173","-36.0(-1.63%)"
"6548","旅工房","東G","200","-2.0(-0.99%)"
"6549","ディーエムソリューションズ","東S","1440","-33.0(-2.24%)"
"6550","Ｕｎｉｐｏｓ","東G","156","+0.0(+0.00%)"
"6551","ツナググループＨＬＤＧ","東S","673","-20.0(-2.89%)"
"6552","ＧａｍｅＷｉｔｈ","東S","270","-6.0(-2.17%)"
"6554","エスユーエス","東G","743","-28.0(-3.63%)"
"6555","ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ","東S","609","+6.0(+1.00%)"
"6556","ウェルビー","東P","1087","+0.0(+0.00%)"
"6557","ＡＩＡＩグループ","東G","1456","-12.0(-0.82%)"
"6558","クックビズ","東G","1660","-32.0(-1.89%)"
"6560","エル・ティー・エス","東P","2210","-72.0(-3.16%)"
"6561","ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ","東G","1667","-33.0(-1.94%)"
"6562","ジーニー","東G","942","-1.0(-0.11%)"
"6563","みらいワークス","東G","720","-4.0(-0.55%)"
"6564","ミダックＨＬＤＧ","東P","1466","-42.0(-2.79%)"
"6565","ＡＢホテル","東S","1740","-50.0(-2.79%)"
"6566","要興業","東S","856","-9.0(-1.04%)"
"6568","神戸天然物化学","東G","1403","-24.0(-1.68%)"
"6570","共和コーポレーション","東S","870","+0.0(+0.00%)"
"6571","キュービーネットＨＬＤＧ","東P","1158","-13.0(-1.11%)"
"6572","ＲＰＡ　ＨＬＤＧ","東P","262","-15.0(-5.42%)"
"6573","アジャイルメディア・ネットワー","東G","148","+40.0(+37.04%)"
"6574","コンヴァノ","東G","688","+35.0(+5.36%)"
"6577","ベストワンドットコム","東G","2670","+30.0(+1.14%)"
"6578","コレック","東S","392","+21.0(+5.66%)"
"6579","ログリー","東G","525","-10.0(-1.87%)"
"6580","ライトアップ","東G","770","-20.0(-2.53%)"
"6584","三櫻工業","東P","1089","-53.0(-4.64%)"
"6586","マキタ","東P","4211.0","-97.0(-2.25%)"
"6588","東芝テック","東P","3030","-95.0(-3.04%)"
"6590","芝浦メカトロニクス","東P","6060","-330.0(-5.16%)"
"6592","マブチモーター","東P","2644.0","-9.0(-0.34%)"
"6594","ニデック","東P","6736.0","+385.0(+6.06%)"
"6597","ＨＰＣシステムズ","東G","2183","-70.0(-3.11%)"
"6599","エブレン","東S","2339","+3.0(+0.13%)"
"6612","バルミューダ","東G","1255","-10.0(-0.79%)"
"6613","ＱＤレーザ","東G","492","-20.0(-3.91%)"
"6614","シキノハイテック","東S","2307","-43.0(-1.83%)"
"6615","ユー・エム・シー・エレクトロニ","東P","358","-10.0(-2.72%)"
"6616","トレックス・セミコンダクター","東P","1722","-32.0(-1.82%)"
"6617","東光高岳","東P","2548","-94.0(-3.56%)"
"6619","ダブル・スコープ","東P","501","-14.0(-2.72%)"
"6620","宮越ＨＬＤＧ","東P","1136","-37.0(-3.15%)"
"6622","ダイヘン","東P","9920","-880.0(-8.15%)"
"6625","ＪＡＬＣＯ　ＨＬＤＧ","東S","350","-11.0(-3.05%)"
"6626","ＳＥＭＩＴＥＣ","東S","1792","-21.0(-1.16%)"
"6627","テラプローブ","東S","5580","-340.0(-5.74%)"
"6629","テクノホライゾン","東S","484","-9.0(-1.83%)"
"6630","ヤーマン","東P","984","+4.0(+0.41%)"
"6632","ＪＶＣケンウッド","東P","874","-39.0(-4.27%)"
"6633","Ｃ＆Ｇシステムズ","東S","315","-3.0(-0.94%)"
"6634","ネクスグループ","東S","157","+5.0(+3.29%)"
"6635","大日光・エンジニアリング","東S","574","-17.0(-2.88%)"
"6637","寺崎電気産業","東S","2040","-223.0(-9.85%)"
"6638","ミマキエンジニアリング","東P","1138","-35.0(-2.98%)"
"6640","Ｉ−ＰＥＸ","東P","1731","-85.0(-4.68%)"
"6643","戸上電機製作所","東S","3065","-205.0(-6.27%)"
"6644","大崎電気工業","東P","655","-25.0(-3.68%)"
"6645","オムロン","東P","5222.0","+16.0(+0.31%)"
"6647","森尾電機","東S","1767","-15.0(-0.84%)"
"6648","かわでん","東S","2807","-141.0(-4.78%)"
"6651","日東工業","東P","4070","-85.0(-2.05%)"
"6652","ＩＤＥＣ","東P","2645","-26.0(-0.97%)"
"6653","正興電機製作所","東P","1353","-44.0(-3.15%)"
"6654","不二電機工業","東S","1111","-13.0(-1.16%)"
"6656","インスペック","東S","993","-13.0(-1.29%)"
"6658","シライ電子工業","東S","551","-5.0(-0.90%)"
"6659","メディアリンクス","東S","105","-2.0(-1.87%)"
"6662","ユビテック","東S","245","+0.0(+0.00%)"
"6663","太洋テクノレックス","東S","331","-4.0(-1.19%)"
"6664","オプトエレクトロニクス","東S","327","-3.0(-0.91%)"
"6666","リバーエレテック","東S","599","-11.0(-1.80%)"
"6668","アドテックプラズマテクノロジー","東S","1382","-38.0(-2.68%)"
"6670","ＭＣＪ","東S","1392","-27.0(-1.90%)"
"6674","ジーエスユアサコーポレーション","東P","3001.0","-144.0(-4.58%)"
"6675","サクサＨＬＤＧ","東S","2757","-67.0(-2.37%)"
"6676","メルコＨＬＤＧ","東S","3610","-85.0(-2.30%)"
"6677","エスケーエレクトロニクス","東S","3225","-60.0(-1.83%)"
"6678","テクノメディカ","東S","1733","-40.0(-2.26%)"
"6694","ズーム","東S","1037","+7.0(+0.68%)"
"6696","トラース・オン・プロダクト","東G","344","-29.0(-7.77%)"
"6697","テックポイント・インク","東G","1218","-28.0(-2.25%)"
"6698","ヴィスコ・テクノロジーズ","東S","648","-14.0(-2.11%)"
"6699","ダイヤモンドエレクトリックＨＤ","東P","806","+66.0(+8.92%)"
"6701","日本電気","東P","11010.0","-465.0(-4.05%)"
"6702","富士通","東P","2492.5","-36.0(-1.42%)"
"6703","沖電気工業","東P","1108","-50.0(-4.32%)"
"6704","岩崎通信機","東S","665","-26.0(-3.76%)"
"6706","電気興業","東P","2054","-20.0(-0.96%)"
"6707","サンケン電気","東P","5984.0","-76.0(-1.25%)"
"6715","ナカヨ","東S","1118","+7.0(+0.63%)"
"6718","アイホン","東P","2904","-80.0(-2.68%)"
"6721","ウインテスト","東S","83","-2.0(-2.35%)"
"6723","ルネサスエレクトロニクス","東P","2599.5","-83.5(-3.11%)"
"6724","セイコーエプソン","東P","2671.5","-33.5(-1.24%)"
"6727","ワコム","東P","582","-5.0(-0.85%)"
"6728","アルバック","東P","9846.0","-214.0(-2.13%)"
"6730","アクセル","東S","1678","-42.0(-2.44%)"
"6731","ピクセラ","東S","111","+2.0(+1.83%)"
"6734","ニューテック","東S","1548","-26.0(-1.65%)"
"6736","サン電子","東S","2960","-23.0(-0.77%)"
"6737","ＥＩＺＯ","東P","5070","-140.0(-2.69%)"
"6740","ジャパンディスプレイ","東P","21","+0.0(+0.00%)"
"6741","日本信号","東P","1022","-13.0(-1.26%)"
"6742","京三製作所","東P","498","-21.0(-4.05%)"
"6743","大同信号","東S","442","-13.0(-2.86%)"
"6744","能美防災","東P","2546","-55.0(-2.11%)"
"6745","ホーチキ","東P","2216","-44.0(-1.95%)"
"6748","星和電機","東S","593","-25.0(-4.05%)"
"6750","エレコム","東P","1513","-8.0(-0.53%)"
"6752","パナソニック　ＨＬＤＧ","東P","1390.0","-8.0(-0.57%)"
"6753","シャープ","東P","801.5","-20.1(-2.45%)"
"6754","アンリツ","東P","1225.5","-21.5(-1.72%)"
"6755","富士通ゼネラル","東P","1831.5","+21.0(+1.16%)"
"6757","ＯＳＧコーポレーション","東S","890","-8.0(-0.89%)"
